sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
1911	90_rot	left	2	1	25	2	78
1916	90_rot	left	2	1	62	1	202
1918	90_rot	left	2	1	39	2	60
1935	90_rot	left	2	1	28	1	88
1939	90_rot	left	2	1	42	2	303
1968	90_rot	left	1	1	43	1	218
1977	90_rot	left	2	1	37	2	175
1999	90_rot	left	2	1	24	2	115
2015	90_rot	left	2	1	68	1	75
2038	90_rot	left	2	1	46	1	172
2042	90_rot	left	2	1	44	1	114
2051	90_rot	left	2	1	48	1	81
2073	90_rot	left	2	1	34	2	136
2083	90_rot	left	2	1	34	2	59
2086	90_rot	left	2	1	50	1	225
2106	90_rot	left	2	1	25	1	68
2132	90_rot	left	2	1	22	2	59
2148	90_rot	left	1	1	45	2	83
2153	90_rot	left	2	1	30	2	142
2166	90_rot	left	2	1	32	2	143
2180	90_rot	left	2	1	38	2	311
2182	90_rot	left	2	1	30	2	94
2207	90_rot	left	1	1	21	2	68
2223	90_rot	left	2	1	27	1	95
2241	90_rot	left	2	1	18	2	126
2250	90_rot	left	2	1	20	1	83
1392	90_rot	right	1	1	38	2	72
1405	90_rot	right	1	1	23	1	99
1417	90_rot	right	1	1	21	3	88
1433	90_rot	right	1	1	47	2	100
1444	90_rot	right	1	1	21	1	123
1462	90_rot	right	1	1	18	1	66
1471	90_rot	right	1	1	21	2	75
1488	90_rot	right	1	1	20	1	134
1497	90_rot	right	1	1	22	2	103
1504	90_rot	right	1	1	22	2	232
1526	90_rot	right	1	1	31	1	885
1548	90_rot	right	2	1	33	2	130
1554	90_rot	right	1	1	24	1	91
1581	90_rot	right	1	1	22	1	205
1583	90_rot	right	1	1	29	1	101
1599	90_rot	right	1	1	29	2	77
1616	90_rot	right	1	1	64	1	133
1635	90_rot	right	1	1	21	3	122
1638	90_rot	right	1	1	49	1	155
1658	90_rot	right	1	1	47	1	66
1669	90_rot	right	1	1	36	1	189
1690	90_rot	right	2	1	42	1	85
1702	90_rot	right	1	1	23	2	89
1723	90_rot	right	1	1	20	2	105
1727	90_rot	right	1	1	60	2	121
1747	90_rot	right	1	1	20	1	97
1760	90_rot	right	2	1	66	2	237
1777	90_rot	right	1	1	23	2	77
1785	90_rot	right	1	1	54	2	122
1799	90_rot	right	2	1	31	1	244
1810	90_rot	right	2	1	46	2	132
1816	90_rot	right	1	1	49	1	110
1858	90_rot	right	1	1	27	1	59
1866	90_rot	right	1	1	21	2	83
1873	90_rot	right	1	1	20	1	52
1889	90_rot	right	1	1	34	1	132
1902	90_rot	right	1	1	28	2	61
1917	90_rot	right	1	1	43	2	117
1927	90_rot	right	1	1	39	2	269
1949	90_rot	right	2	1	18	2	207
1953	90_rot	right	1	1	30	2	111
1955	90_rot	right	1	1	25	2	122
1984	90_rot	right	1	1	49	1	260
1994	90_rot	right	1	1	30	2	69
2011	90_rot	right	1	1	48	2	123
2020	90_rot	right	1	1	30	2	91
2039	90_rot	right	2	1	62	2	161
2061	90_rot	right	1	1	23	2	98
2066	90_rot	right	1	1	41	2	127
2087	90_rot	right	1	1	25	1	76
2103	90_rot	right	1	1	52	2	66
2119	90_rot	right	1	1	37	1	158
2122	90_rot	right	1	1	28	2	98
2144	90_rot	right	1	1	40	1	56
2160	90_rot	right	1	1	30	1	95
2173	90_rot	right	2	1	34	1	134
2184	90_rot	right	2	1	29	2	95
2202	90_rot	right	1	1	38	1	80
2203	90_rot	right	1	1	64	2	69
2219	90_rot	right	1	1	38	1	126
2240	90_rot	right	2	1	59	2	131
1382	Angle	left	2	1	36	1	252
1398	Angle	left	2	1	24	1	183
1416	Angle	left	2	1	20	1	118
1431	Angle	left	2	1	39	1	163
1446	Angle	left	2	1	21	1	150
1459	Angle	left	2	1	59	2	148
1479	Angle	left	2	1	42	2	65
1483	Angle	left	2	1	45	2	142
1511	Angle	left	2	1	20	2	81
1524	Angle	left	2	1	23	2	60
1537	Angle	left	2	1	52	2	52
1540	Angle	left	2	1	20	2	87
1561	Angle	left	2	1	59	2	150
1563	Angle	left	2	1	31	1	62
1584	Angle	left	2	1	26	1	73
1603	Angle	left	2	1	46	2	196
1620	Angle	left	1	1	26	2	140
1629	Angle	left	1	1	29	1	370
1643	Angle	left	1	1	25	2	43
1664	Angle	left	1	1	19	2	67
1674	Angle	left	1	1	29	2	69
1688	Angle	left	2	1	55	1	112
1696	Angle	left	1	1	36	2	954
1708	Angle	left	2	1	55	2	73
1728	Angle	left	2	1	29	1	76
1750	Angle	left	2	1	20	2	121
1751	Angle	left	2	1	22	1	68
1774	Angle	left	2	1	77	2	68
1796	Angle	left	1	1	31	2	97
1819	Angle	left	2	1	57	1	86
1829	Angle	left	2	1	27	2	291
1846	Angle	left	2	1	25	2	84
1860	Angle	left	1	1	51	3	89
1869	Angle	left	2	1	26	2	160
1891	Angle	left	2	1	36	2	152
1892	Angle	left	1	1	25	2	80
1921	Angle	left	2	1	21	2	114
1924	Angle	left	2	1	20	3	84
1943	Angle	left	2	1	28	2	65
1960	Angle	left	2	1	24	1	96
1979	Angle	left	2	1	25	2	127
1982	Angle	left	1	1	26	1	75
2002	Angle	left	1	1	19	1	95
2009	Angle	left	1	1	39	2	111
2033	Angle	left	1	1	57	1	89
2048	Angle	left	2	1	30	2	134
2050	Angle	left	2	1	59	1	252
2065	Angle	left	2	1	24	2	91
2079	Angle	left	2	1	24	3	71
2093	Angle	left	2	1	62	2	109
2102	Angle	left	1	1	32	1	80
2133	Angle	left	1	1	23	2	99
2141	Angle	left	1	1	32	2	193
2161	Angle	left	2	1	26	2	79
2171	Angle	left	1	1	27	1	142
2178	Angle	left	2	1	54	2	179
2189	Angle	left	1	1	48	2	105
2217	Angle	left	2	1	19	2	77
2229	Angle	left	1	1	25	2	54
2237	Angle	left	1	1	33	1	156
2248	Angle	left	2	1	31	2	164
1394	Angle	right	1	1	54	1	77
1407	Angle	right	1	1	46	2	89
1422	Angle	right	1	1	31	2	64
1432	Angle	right	1	1	36	2	75
1442	Angle	right	1	1	37	1	114
1463	Angle	right	1	1	20	1	104
1473	Angle	right	1	1	23	2	77
1485	Angle	right	2	1	30	2	57
1494	Angle	right	2	1	30	2	120
1507	Angle	right	1	1	48	2	320
1532	Angle	right	1	1	23	2	169
1552	Angle	right	2	1	49	2	107
1568	Angle	right	1	1	22	1	96
1569	Angle	right	1	1	33	2	56
1590	Angle	right	1	1	41	2	65
1605	Angle	right	1	1	51	1	88
1627	Angle	right	2	1	22	2	88
1637	Angle	right	1	1	41	2	147
1647	Angle	right	1	1	21	1	61
1663	Angle	right	2	1	18	1	44
1668	Angle	right	1	1	42	2	103
1686	Angle	right	1	1	40	2	176
1704	Angle	right	2	1	22	3	72
1718	Angle	right	1	1	33	2	142
1736	Angle	right	2	1	34	1	104
1738	Angle	right	1	1	35	1	121
1762	Angle	right	1	1	27	1	82
1776	Angle	right	2	1	25	2	83
1778	Angle	right	1	1	41	1	191
1804	Angle	right	2	1	45	2	72
1823	Angle	right	1	1	33	2	76
1828	Angle	right	1	1	34	1	102
1843	Angle	right	1	1	27	2	111
1863	Angle	right	1	1	31	2	88
1868	Angle	right	1	1	67	1	111
1879	Angle	right	1	1	60	1	170
1904	Angle	right	2	1	35	2	51
1913	Angle	right	1	1	49	2	95
1925	Angle	right	1	1	54	1	123
1937	Angle	right	1	1	42	2	79
1957	Angle	right	1	1	23	1	101
1978	Angle	right	1	1	22	2	72
1992	Angle	right	1	1	20	1	81
1996	Angle	right	1	1	18	1	79
2007	Angle	right	1	1	22	2	102
2018	Angle	right	1	1	46	1	132
2043	Angle	right	1	1	25	2	79
2046	Angle	right	1	1	18	2	110
2072	Angle	right	2	1	68	2	244
2084	Angle	right	1	1	19	1	77
2092	Angle	right	1	1	23	2	100
2109	Angle	right	2	1	60	1	116
2112	Angle	right	2	1	50	2	213
2134	Angle	right	1	1	36	1	86
2154	Angle	right	1	1	20	1	168
2156	Angle	right	1	1	29	1	239
2190	Angle	right	1	1	26	1	94
2195	Angle	right	1	1	25	1	65
2209	Angle	right	1	1	20	1	54
2227	Angle	right	1	1	20	1	1072
2234	Angle	right	1	1	30	1	118
1390	Small	left	2	1	22	1	111
1404	Small	left	2	1	45	2	185
1413	Small	left	2	1	40	2	109
1441	Small	left	2	1	26	1	91
1456	Small	left	2	1	18	2	240
1468	Small	left	1	1	22	2	76
1489	Small	left	2	1	31	3	77
1503	Small	left	2	1	30	2	278
1527	Small	left	2	1	47	2	52
1530	Small	left	1	1	56	2	210
1556	Small	left	1	1	27	2	56
1560	Small	left	2	1	45	2	94
1577	Small	left	2	1	41	1	78
1589	Small	left	2	1	54	2	131
1598	Small	left	1	1	45	2	111
1611	Small	left	2	1	44	2	81
1612	Small	left	2	1	32	1	165
1641	Small	left	2	1	37	2	65
1666	Small	left	2	1	25	2	85
1678	Small	left	2	1	36	2	117
1692	Small	left	2	1	44	1	69
1693	Small	left	1	1	32	2	179
1717	Small	left	2	1	31	2	76
1734	Small	left	2	1	29	1	82
1754	Small	left	2	1	59	2	95
1766	Small	left	2	1	37	2	86
1771	Small	left	1	1	62	4	141
1780	Small	left	2	1	58	1	141
1800	Small	left	1	1	27	1	82
1815	Small	left	2	1	19	1	125
1830	Small	left	1	1	74	2	244
1844	Small	left	2	1	22	1	54
1855	Small	left	1	1	19	1	56
1857	Small	left	2	1	33	2	153
1877	Small	left	2	1	29	1	87
1903	Small	left	1	1	26	1	99
1914	Small	left	1	1	29	1	44
1922	Small	left	2	1	28	2	105
1948	Small	left	2	1	18	1	63
1951	Small	left	2	1	48	2	138
1974	Small	left	2	1	63	1	205
1976	Small	left	2	1	21	2	38
2001	Small	left	2	1	26	2	63
2016	Small	left	2	1	19	1	80
2026	Small	left	2	1	18	1	204
2041	Small	left	1	1	33	2	79
2058	Small	left	2	1	20	1	54
2070	Small	left	2	1	27	1	81
2088	Small	left	2	1	27	2	125
2113	Small	left	2	1	58	1	94
2114	Small	left	1	1	22	2	46
2125	Small	left	1	1	44	2	114
2150	Small	left	2	1	22	1	123
2170	Small	left	2	1	35	1	114
2188	Small	left	1	1	19	2	78
2199	Small	left	2	1	29	2	332
2213	Small	left	2	1	24	2	61
2215	Small	left	2	1	19	1	247
2231	Small	left	2	1	37	1	221
2255	Small	left	2	1	45	2	75
2256	Small	left	2	1	29	1	80
1395	Small	right	1	1	22	1	100
1402	Small	right	2	1	59	2	117
1414	Small	right	1	1	21	2	143
1434	Small	right	1	1	32	2	169
1450	Small	right	2	1	51	1	261
1461	Small	right	2	1	23	2	160
1474	Small	right	2	1	18	2	63
1487	Small	right	1	1	54	1	100
1501	Small	right	1	1	27	1	430
1516	Small	right	1	1	36	2	68
1550	Small	right	1	1	49	1	110
1555	Small	right	1	1	27	2	102
1574	Small	right	1	1	34	2	881
1586	Small	right	1	1	32	2	111
1602	Small	right	2	1	56	2	184
1614	Small	right	2	1	21	2	112
1626	Small	right	1	1	45	1	92
1648	Small	right	1	1	32	2	141
1653	Small	right	1	1	21	2	66
1676	Small	right	2	1	30	1	98
1682	Small	right	1	1	23	1	173
1710	Small	right	1	1	22	1	53
1729	Small	right	2	1	31	1	68
1730	Small	right	1	1	62	2	71
1741	Small	right	2	1	46	2	159
1767	Small	right	1	1	53	2	85
1772	Small	right	1	1	46	2	64
1788	Small	right	2	1	24	2	80
1801	Small	right	1	1	32	2	75
1814	Small	right	2	1	31	2	96
1833	Small	right	1	1	34	1	58
1840	Small	right	1	1	30	1	86
1865	Small	right	2	1	63	1	85
1878	Small	right	1	1	24	1	87
1885	Small	right	1	1	19	1	120
1899	Small	right	1	1	31	1	234
1900	Small	right	2	1	19	2	124
1919	Small	right	1	1	27	1	123
1929	Small	right	1	1	35	2	67
1962	Small	right	2	1	18	1	57
1983	Small	right	2	1	28	1	92
1989	Small	right	2	1	37	1	96
1997	Small	right	1	1	32	2	102
2005	Small	right	1	1	20	1	73
2028	Small	right	1	1	19	1	75
2045	Small	right	1	1	37	2	132
2052	Small	right	2	1	31	2	197
2059	Small	right	1	1	22	2	195
2075	Small	right	1	1	60	1	200
2105	Small	right	2	1	38	1	75
2117	Small	right	2	1	28	2	107
2130	Small	right	2	1	21	2	47
2138	Small	right	1	1	24	2	90
2146	Small	right	2	1	41	1	119
2157	Small	right	1	1	32	2	153
2186	Small	right	1	1	41	2	93
2201	Small	right	2	1	60	1	153
2230	Small	right	1	1	45	2	123
2239	Small	right	1	1	51	1	92
2247	Small	right	1	1	26	1	139
2257	Small	right	1	1	27	2	117
1385	X_sym	left	2	1	29	1	89
1406	X_sym	left	2	1	30	2	100
1424	X_sym	left	1	1	33	2	86
1437	X_sym	left	2	1	31	2	74
1440	X_sym	left	1	1	20	2	82
1457	X_sym	left	2	1	60	2	110
1470	X_sym	left	2	1	32	2	76
1484	X_sym	left	1	1	35	2	74
1498	X_sym	left	2	1	24	2	91
1510	X_sym	left	2	1	26	1	185
1536	X_sym	left	2	1	29	1	83
1541	X_sym	left	1	1	26	2	160
1564	X_sym	left	1	1	26	1	168
1567	X_sym	left	2	1	29	2	76
1596	X_sym	left	2	1	24	2	90
1609	X_sym	left	1	1	39	1	118
1615	X_sym	left	2	1	55	2	79
1631	X_sym	left	2	1	21	2	85
1640	X_sym	left	2	1	21	2	100
1660	X_sym	left	2	1	21	1	75
1665	X_sym	left	2	1	47	2	91
1689	X_sym	left	2	1	30	1	73
1705	X_sym	left	2	1	43	1	133
1714	X_sym	left	2	1	23	1	101
1715	X_sym	left	2	1	23	1	361
1744	X_sym	left	2	1	60	2	94
1765	X_sym	left	2	1	30	2	98
1781	X_sym	left	2	1	32	1	89
